t,src,seq,t_gen,t_recv,hopCount,delay
16.000000,400,5,5.012310,16.000000,32,10.987690
16.000000,400,3,3.343181,16.000000,32,12.656819
16.000000,400,6,6.343181,16.000000,29,9.656819
16.000000,400,7,7.012310,16.000000,29,8.987690
16.000000,400,7,7.175104,16.000000,28,8.824896
16.000000,400,7,7.199834,16.000000,29,8.800166
16.000000,400,7,7.279033,16.000000,27,8.720967
16.000000,400,7,7.343181,16.000000,29,8.656819
16.000000,400,8,8.279033,16.000000,3,7.720967
16.000000,400,4,4.343181,16.000000,31,11.656819
16.000000,400,12,12.012310,16.000000,2,3.987690
16.000000,400,8,8.199834,16.000000,8,7.800166
16.000000,400,9,9.279033,16.000000,3,6.720967
16.000000,400,10,10.279033,16.000000,3,5.720967
16.000000,400,13,13.012310,16.000000,2,2.987690
16.000000,400,14,14.012310,16.000000,2,1.987690
16.000000,400,9,9.175104,16.000000,8,6.824896
16.000000,400,14,14.279033,16.000000,3,1.720967
16.000000,400,15,15.012310,16.000000,2,0.987690
16.000000,400,15,15.279033,16.000000,3,0.720967
16.500000,400,16,16.012310,16.500000,2,0.487690
16.500000,400,16,16.279033,16.500000,3,0.220967
