t,src,seq,t_gen
0.000604,291,0,0.000604
0.001339,395,0,0.001339
0.001550,195,0,0.001550
0.002595,198,0,0.002595
0.004256,132,0,0.004256
0.004345,304,0,0.004345
0.004466,248,0,0.004466
0.009650,88,0,0.009650
0.010844,230,0,0.010844
0.010987,270,0,0.010987
0.012264,125,0,0.012264
0.012310,75,0,0.012310
0.012377,399,0,0.012377
0.012472,305,0,0.012472
0.012749,97,0,0.012749
0.013261,102,0,0.013261
0.014550,149,0,0.014550
0.014817,287,0,0.014817
0.016233,13,0,0.016233
0.016451,355,0,0.016451
0.018280,387,0,0.018280
0.018783,218,0,0.018783
0.019825,261,0,0.019825
0.021488,169,0,0.021488
0.022830,21,0,0.022830
0.026254,240,0,0.026254
0.027554,310,0,0.027554
0.027983,5,0,0.027983
0.029435,265,0,0.029435
0.032541,368,0,0.032541
0.035205,318,0,0.035205
0.035224,29,0,0.035224
0.036217,87,0,0.036217
0.039485,382,0,0.039485
0.041029,228,0,0.041029
0.042617,285,0,0.042617
0.043266,6,0,0.043266
0.045116,249,0,0.045116
0.046014,4,0,0.046014
0.046947,357,0,0.046947
0.047810,323,0,0.047810
0.048281,252,0,0.048281
0.048747,336,0,0.048747
0.049239,3,0,0.049239
0.049708,135,0,0.049708
0.049979,260,0,0.049979
0.050016,85,0,0.050016
0.053215,171,0,0.053215
0.056743,226,0,0.056743
0.056908,58,0,0.056908
0.058049,170,0,0.058049
0.060460,166,0,0.060460
0.060530,50,0,0.060530
0.061922,266,0,0.061922
0.065926,77,0,0.065926
0.065952,333,0,0.065952
0.066408,60,0,0.066408
0.068626,231,0,0.068626
0.072143,306,0,0.072143
0.072935,180,0,0.072935
0.074134,120,0,0.074134
0.074239,90,0,0.074239
0.074415,76,0,0.074415
0.076814,129,0,0.076814
0.080197,321,0,0.080197
0.084288,106,0,0.084288
0.085050,344,0,0.085050
0.089705,234,0,0.089705
0.092181,189,0,0.092181
0.093776,191,0,0.093776
0.094531,246,0,0.094531
0.096359,326,0,0.096359
0.097011,376,0,0.097011
0.100182,202,0,0.100182
0.100258,334,0,0.100258
0.100759,71,0,0.100759
0.102783,377,0,0.102783
0.105767,244,0,0.105767
0.107764,92,0,0.107764
0.111329,308,0,0.111329
0.112233,398,0,0.112233
0.113542,140,0,0.113542
0.114132,52,0,0.114132
0.115535,370,0,0.115535
0.116539,339,0,0.116539
0.117631,264,0,0.117631
0.118587,7,0,0.118587
0.119022,178,0,0.119022
0.120773,51,0,0.120773
0.122326,19,0,0.122326
0.123267,173,0,0.123267
0.123523,386,0,0.123523
0.127013,331,0,0.127013
0.128617,46,0,0.128617
0.129351,91,0,0.129351
0.130314,232,0,0.130314
0.133348,223,0,0.133348
0.135557,255,0,0.135557
0.136115,227,0,0.136115
0.136342,119,0,0.136342
0.136504,95,0,0.136504
0.137288,303,0,0.137288
0.138887,100,0,0.138887
0.140576,280,0,0.140576
0.142043,391,0,0.142043
0.143560,168,0,0.143560
0.144888,136,0,0.144888
0.146572,201,0,0.146572
0.148121,66,0,0.148121
0.149822,123,0,0.149822
0.150412,381,0,0.150412
0.150846,317,0,0.150846
0.153688,301,0,0.153688
0.154626,204,0,0.154626
0.155034,22,0,0.155034
0.156377,27,0,0.156377
0.158110,277,0,0.158110
0.158244,172,0,0.158244
0.160283,194,0,0.160283
0.162041,276,0,0.162041
0.162202,62,0,0.162202
0.162559,236,0,0.162559
0.164152,160,0,0.164152
0.164189,348,0,0.164189
0.164771,104,0,0.164771
0.164968,108,0,0.164968
0.166095,314,0,0.166095
0.167815,181,0,0.167815
0.174391,74,0,0.174391
